round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,pool_size,activation,losses
10,0.0008934033474780751,0.9692513387311589,0.00033232804238475197,0.9893048134717074,256,64,2,relu,logcosh
50,0.0034946390110800764,0.8622994730498064,0.0020965770810718216,0.9227941221542617,64,4,2,softmax,logcosh
13,0.11606099283858992,0.9665775420990858,0.013638667335973324,0.9979946525259451,128,16,2,relu,categorical_crossentropy
18,0.001239729807149971,0.9612299488349394,0.00038536008939241075,0.9886363643136892,16,64,2,relu,logcosh
32,0.0009215253288994961,0.9705882370471954,0.00019965324539480172,0.992981283840808,256,16,2,softmax,logcosh
18,0.017238348695066047,0.1270053497849301,0.017304882879697663,0.10461230114859374,256,16,2,sigmoid,logcosh
9,0.11824662563803892,0.9598930505189028,0.022751873436992292,0.9933155084198172,256,128,2,relu,categorical_crossentropy
20,0.10861055072606168,0.962566847150976,0.020364546963017902,0.9969919787889178,64,256,2,sigmoid,categorical_crossentropy
30,0.0020606098176053768,0.9291443892500617,0.000929116585384531,0.9635695208182787,16,16,2,relu,logcosh
38,0.3053753344266007,0.9171123044057325,0.060830092905942434,0.9872994659976526,4,128,2,sigmoid,categorical_crossentropy
36,0.0025123276249412367,0.9144385077736594,0.0013416467435420755,0.9592246013608846,4,128,2,sigmoid,logcosh
50,0.00297723379194018,0.895721931149934,0.001773910185988057,0.9458556182005189,4,16,2,sigmoid,logcosh
24,0.1242147924768848,0.9612299488349394,0.00993907976078572,0.9996657754209909,128,16,2,softmax,categorical_crossentropy
50,2.86123450905244,0.1270053497849301,2.900455582110002,0.1046123011983971,64,4,2,sigmoid,categorical_crossentropy
14,0.150281605751077,0.962566847150976,0.004057757107251415,0.9993315508419817,64,16,2,relu,categorical_crossentropy
22,0.003279126676704248,0.8877005410545012,0.0015122371308745359,0.9545454572547566,4,64,2,relu,logcosh
28,0.4538150230616538,0.8983957275827938,0.1164136001721017,0.9669117666780949,128,4,2,relu,categorical_crossentropy
18,0.01723835107068566,0.1270053497849301,0.017304882912069837,0.10461230114859374,256,4,2,sigmoid,logcosh
10,0.0012250154461814742,0.962566847150976,0.00033462543386646876,0.9889705888926983,64,64,2,relu,logcosh
12,0.004089013272696223,0.8582887778028766,0.0029786948133150495,0.904077545555438,256,256,2,sigmoid,logcosh
17,0.10536852023347518,0.9679144404151223,0.008779301913795825,0.9989973262629726,128,64,2,softmax,categorical_crossentropy
34,0.3106644111872217,0.9144385075744461,0.06152998819131674,0.9876336905766617,4,128,2,softmax,categorical_crossentropy
43,0.2475662277652896,0.9344919825142081,0.042976962013374316,0.9946524067358538,4,64,2,sigmoid,categorical_crossentropy
11,0.0012629895206864416,0.9572192538868297,0.0004873793064619542,0.9856283431026068,16,128,2,relu,logcosh
6,0.10943837468684334,0.962566847150976,0.032934477723575405,0.9923128346827897,128,128,2,relu,categorical_crossentropy
18,0.0010674088718800993,0.9679144404151223,0.000216196877241528,0.9939839575778354,128,64,2,softmax,logcosh
9,0.16931623525426967,0.9558823555707932,0.03199308338740194,0.9943181821568445,16,64,2,relu,categorical_crossentropy
23,0.12297913674817262,0.9705882370471954,0.012367080604935885,0.9989973262629726,128,256,2,sigmoid,categorical_crossentropy
50,2.8612344692097627,0.1270053497849301,2.900455576213286,0.10461230114859374,16,4,2,sigmoid,categorical_crossentropy
30,0.001835707769327036,0.9371657789470678,0.0005241594042658665,0.9809491989964788,16,16,2,softmax,logcosh
50,0.40399862025188343,0.8663101679979162,0.2540862048793991,0.9147727322530619,4,4,2,relu,categorical_crossentropy
16,0.0010902773910451463,0.962566847150976,3.22878039135025e-05,0.9989973262629726,64,128,2,relu,logcosh
14,0.11186385136811818,0.9705882370471954,0.003759462767474811,0.9993315508419817,16,128,2,relu,categorical_crossentropy
29,0.0014333851204324296,0.9518716606226835,0.00032968896509691327,0.9896390380507166,64,16,2,softmax,logcosh
17,0.09329836350182809,0.9639037454670126,0.0031383006367542276,0.9993315508419817,64,256,2,softmax,categorical_crossentropy
19,0.0013320554991602103,0.9558823555707932,0.0007105861292113129,0.9742647073963747,64,64,2,softmax,logcosh
16,0.0017231988326734695,0.9385026772631043,0.0008228460843903501,0.967245991257104,64,16,2,relu,logcosh
50,0.2512635113092458,0.9264705926179886,0.06108538395765111,0.9913101609457623,16,4,2,softmax,categorical_crossentropy
50,2.8612344692097627,0.1270053497849301,2.900455582986541,0.10461230114859374,128,4,2,sigmoid,categorical_crossentropy
18,0.0028270525479025914,0.9050802191629767,0.0016380585120481892,0.9465240673386158,4,256,2,relu,logcosh
36,0.0032748774448034495,0.8890374393705378,0.0014994506899015773,0.9568850292580172,4,64,2,softmax,logcosh
34,0.0014690700275625517,0.9532085587395066,0.0007616129167238502,0.9719251353433107,16,64,2,sigmoid,logcosh
20,0.4652841597182905,0.8743315578941355,0.17149334908023098,0.9545454572049532,64,4,2,relu,categorical_crossentropy
38,0.3604755576419517,0.9117647111415863,0.11761228054047754,0.9669117666780949,4,16,2,relu,categorical_crossentropy
35,0.004419010577388069,0.8315508115817519,0.003429953473542559,0.868315515576558,64,4,2,relu,logcosh
28,0.10863782007850764,0.9585561522028663,0.00529441127610287,0.9996657754209909,256,16,2,softmax,categorical_crossentropy
15,0.001203770058192874,0.9652406437830492,0.0003361136503986108,0.9899732626297257,64,256,2,softmax,logcosh
37,1.8607768704865706,0.36898396592487626,1.847769717919954,0.35628343048321215,256,64,2,sigmoid,categorical_crossentropy
9,0.10240498264572835,0.9665775420990858,0.017166673759684448,0.9946524067358538,128,256,2,relu,categorical_crossentropy
