round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
24,1.8493870652870557,0.3582787671247523,2.108526133523698,0.3097076069193277,16,4,0.5,2,softmax,categorical_crossentropy
22,0.007178105202506836,0.7408793299860549,0.0029850111909511807,0.8977777806464692,16,128,0.5,2,softmax,logcosh
9,0.015992418946515354,0.23105706381842397,0.014633730652335213,0.26807017793432314,64,16,0.5,2,softmax,logcosh
8,0.015621511421020778,0.33395696999426755,0.0132245234272895,0.36280702118985136,16,16,0.5,2,softmax,logcosh
13,0.6707363274069953,0.8493919581509395,0.05846247768834534,0.983157895618712,64,256,0.5,2,relu,categorical_crossentropy
21,2.1980847141333446,0.32927970193723743,2.16467096205169,0.28467836719855927,4,4,0.5,2,relu,categorical_crossentropy
10,0.017340157194963898,0.10196445281534579,0.01731329476188498,0.11134502931296476,64,4,0.0,2,sigmoid,logcosh
14,1.0821429462899768,0.6697848486331605,0.583582761078386,0.8021052674069042,4,128,0.5,2,relu,categorical_crossentropy
15,1.1653893489128269,0.6566884967771169,0.42055677574553235,0.865497078864198,4,128,0.0,2,softmax,categorical_crossentropy
19,1.4900163876984382,0.6155285340698107,0.44888028365108684,0.8755555581802513,16,4,0.0,2,relu,categorical_crossentropy
13,1.3423111385737188,0.6492048677604147,0.5320091488260895,0.8145029281663616,4,256,0.5,2,relu,categorical_crossentropy
10,0.017337860607509862,0.10196445281534579,0.017313503835633483,0.11134502931296476,64,4,0.5,2,relu,logcosh
16,2.9318884708147612,0.10196445281534579,2.9046660038462857,0.11134502931296476,256,64,0.5,2,sigmoid,categorical_crossentropy
27,0.9948444172335388,0.7006548214059104,0.25675268265012996,0.9141520497220301,64,256,0.5,2,sigmoid,categorical_crossentropy
13,0.016246351565890382,0.29186155322949614,0.014199390531179797,0.3190643282661661,4,4,0.0,2,softmax,logcosh
30,0.012038374062871778,0.5304022484621899,0.004632143265052538,0.8254970776407342,4,4,0.0,2,relu,logcosh
10,0.017341945999910947,0.10196445281534579,0.01731331576075819,0.11134502931296476,128,16,0.5,2,sigmoid,logcosh
28,0.005927878693657214,0.8007483656184489,0.0027335951572429753,0.9064327510302527,64,256,0.5,2,sigmoid,logcosh
13,0.6350267413906879,0.7960710979099024,0.164777792120589,0.9515789488777082,128,256,0.0,2,softmax,categorical_crossentropy
10,0.5924397338430712,0.8428437821183726,0.09206588701179086,0.9707602354518154,64,256,0.5,2,relu,categorical_crossentropy
15,2.931326261070758,0.10196445281534579,2.9051790970807883,0.11134502931296476,64,16,0.0,2,sigmoid,categorical_crossentropy
19,0.8244271547327977,0.7202993484581599,0.32915440012789066,0.8970760277140211,256,128,0.5,2,softmax,categorical_crossentropy
10,0.762321827098016,0.8166510790335564,0.05852714421663296,0.9789473692053243,256,64,0.0,2,relu,categorical_crossentropy
32,0.012251466884550106,0.5042095432167749,0.013896126049323596,0.3155555606585497,16,4,0.5,2,relu,logcosh
15,2.9314033565842403,0.10196445281534579,2.905201866752223,0.11134502931296476,128,4,0.0,2,relu,categorical_crossentropy
15,2.9313267956725673,0.10196445281534579,2.9051990974716277,0.11134502931296476,256,16,0.5,2,softmax,categorical_crossentropy
18,1.3076598538023527,0.6230121636998441,0.9442052129496771,0.6935672574747376,4,64,0.5,2,softmax,categorical_crossentropy
11,0.01734500185833064,0.11693171222874559,0.01731268629344583,0.11134502931296476,64,256,0.5,2,sigmoid,logcosh
15,2.9313760707041614,0.10196445281534579,2.9051987848783796,0.11134502931296476,256,4,0.0,2,softmax,categorical_crossentropy
44,0.008695865591914754,0.6913002839676122,0.003452658316272134,0.8697076073341202,256,64,0.5,2,softmax,logcosh
26,0.9799016841638076,0.7240411630152986,0.6114623225419107,0.8007017597468973,4,64,0.5,2,sigmoid,categorical_crossentropy
15,2.931467158644973,0.10196445281534579,2.9051974034448813,0.11134502931296476,128,4,0.5,2,relu,categorical_crossentropy
6,2.878731286893725,0.1655753041200263,2.8797840706437654,0.10152046816390857,128,4,0.5,2,relu,categorical_crossentropy
15,2.9313912023663855,0.10196445281534579,2.905195632454945,0.11134502931296476,64,16,0.0,2,softmax,categorical_crossentropy
15,2.9313509312603827,0.10196445281534579,2.905220848496197,0.11134502931296476,256,16,0.5,2,sigmoid,categorical_crossentropy
